text,label
കൊറോണ ഒക്കെ ഇങ്ങനെ പേടിക്കേണ്ട കാലം ഒക്കെ കഴിഞ്ഞു.ഇനിയും പേടിച്ച് ഇരുന്നാൽ irikkathe ഉള്ളൂ,Fake
കൊറോണ വൈറസ് ഇന്ത്യ കൈനീട്ടി വാങ്ങിയതാണ്  ചാകാൻ നേരത്തെ രാമരാമ  പറഞ്ഞിട്ട് കാര്യമില്ല ഇല്ല,Fake
Oscar 2022 <br>Best song goes to :-innee party lokamengum..😂😂,original
China  army  na pinvalichuu <br>Oppam corona um pinvalinuu😂😜,Fake
മിസ്റ്റർ സാജൻ സക്കറിയ ഇതാണ് കോവിഡ മേള മോദിയുടെയും അമിത് ഷാ യുടെയും തണലിൽ ഉഷാറായി നടക്കട്ടെ,Fake
കിറ്റപ്പൻ  ദൈബം ഉയിർ 🤣🤣🤣😂😂😂🤪🤪🤪,original
Pakhippane varumpol evattakalee kuuttathode kathikkunna pole.evattakale enthe kathikkathathu.pakhikal kodathiyil pokano ene,original
Jeevichirunnalalle ആചാരങ്ങൾ നടത്താൻ പറ്റൂ!!!,Fake
ആരൊക്കെയോ എന്തൊക്കെയോ പറയുന്നു എന്നു നിങ്ങൾ തന്നെ പറയുന്നു. സത്യവും മിഥ്യയും നിങ്ങൾക്ക് തന്നെ അറിയില്ല. ഇതെല്ലാം മനസ്സിലാക്കിയിട്ട് പറഞ്ഞാൽ പോരെ. റഷ്യയിലും Nകൊറിയയിലും ആയിരങ്ങൾ രോഗബാധിധരാണ്.,Fake
കരുതലാണ് ഇവരുടെ മെയിൻ 🤣,original
വീഡിയോ നല്ല എഡിറ്റിംഗ് 🙏🙏🙏,original
e pennugalk vera valla panikum poikoode,original
ദൈവമേ ഇവന്മാരെ അങ്ങ് തീർത്തേക്,Fake
ചൈന മറ്റു രാജ്യങ്ങളിലെ സാമ്പത്തിക സ്ഥിതി തകരുമ്പോൾ അവിടത്തെ സ്ഥാപനങ്ങൾ കള്ളുവിലയ്ക്ക് വാങ്ങാൻ സാധ്യതയുണ്ട്.,Fake
ചൈനയെ പദം.പഠിപ്പിക്കണം.,Fake
ഹായ് സർ.,Fake
കേരളത്തിൽ &quot;മൂന്നാം തരം &#39;ഗം&#39; പിടി മുറുക്കുന്നു.&quot; നിഷാന്തിന്റെ പ്രോഗ്രാം ആണോ ഉദ്ദേശിച്ചത്?,original
ഡിഗ്രി ഇല്ലാത്ത ജാക്കബ് സാറിനോട് / വാദപ്രതിവാദം നടത്താൻ നിങ്ങൾ ഡിഗ്രി എടുത്തവർ ആരെങ്കിലും ആണത്തമുള്ളവർ ഉണ്ടോ? അദ്ദേഹം വെല്ലുവിളിച്ചിട്ട ആ വെല്ലുവിളി സ്വീകരിക്കാൻ പോലും ധൈര്യം കാട്ടിയില്ലല്ലോ ഒരു ബിരുദക്കാരും                             സുഹൃത്തെ പ്രകൃതിയെ തോൽപ്പിക്കാൻ കഴിയില്ല.,Fake
എന്റെ ചങ്കിലെ ചൈന 🙄🤔....,Fake
Chekuthaan chirichaalum Karanhjaalum Pedikkanam. 🤣🤣,Fake
Covid Vaccine  is not all that effective which indicates the pandemic can be something different,Fake
Cpm raja baranam pole aayi,original
he is also a doctor,Fake
പ്ലീസ്.... തിരുവാതിരയല്ല... പിണുവാതിര,original
Marakam,original
കൊറോണ യൊക്കെ ഇപ്പ വെറും ജലദോശ പനിയായി മാറി അപ്പഴാണോ വില കുറഞ്ഞ ഒരു വാക്സിൻ ചർച്ച .,Fake
കൊറോണ നാട്ടിൽ കൂടുക ആണല്ലോ ഇവറ്റകളുടെ ലക്ഷ്യം...,original
വക്സിൻ  എടുത്ത്  എത്ര  പേർ മരിച്ചു,Fake
"Oh, horrible",Fake
ഭരിക്കുന്ന വർക് എന്ത് തെമ്മാടിത്തവുമാണ്,original
255 dislike adicha pottanmar,Fake
Eee corona virus is made in China😹😹😹😹,Fake
Those who have given their votes are baf..ns,original
ലോകം മുഴുവൻ കൊറോണ പടർന്നിട്ടും ചൈനയിൽ മാത്രം എന്ത് കൊണ്ട് പടർന്നു പിടിച്ചില്ല.,Fake
പിണുവാതിര 😀,original
KANDAL.THANE.AREYAM.OKEY.BOOLOKA..VEDEKALANENE.,original
കേരളം ഇപ്പോളാണ് ഭ്രാന്തലയം ആയതു അതിന്റെ തത്സമയം ദൃശ്യങ്ങൾ ആണ് കണ്ടോണ്ട് ഇരിക്കുന്നത്,original
മലബാർ എന്ന പേരിനെ അപമാനിപ്പിക്കുന്ന ഇവൻ മാന്യ വ്യക്തികളെ പണത്തിനായി അപമാനി,Fake
"Thank you Shajan ,God bless you , മനസ്സിൽ ഒരു ആശ്വാസം,.",Fake
കേടും പേടും തിരിവും കരിഞ്ഞതും പിരിഞ്ഞതും എല്ലാം പോയിക്കഴിഞ്ഞാൽ പിന്നെ മരണം കുറയും.സ്വാഭാവികമല്ലേ അത്! Immunity ഉള്ളവർ രക്ഷപെടും. ഒളിച്ചിരുന്ന immunity ഇല്ലാത്തവർ പുറത്തിറങ്ങിയാൽ സൂക്ഷിച്ചില്ലെങ്കിൽ പണി കിട്ടും. പ്രകൃതി ശുദ്ധികലശം നടത്തുകയാണിവിടെ! Survival of the fittest...!! ഓർക്കുക.,Fake
"അപ്പോള് ബിൽ ഗേറ്റ്സ്, അന്തോണി ഫോക്കി, tedrose, who എന്നിവർക്ക് ഒരു റോളും ഇല്ലെന്ന് ആണോ?",Fake
ഒറ്റ ഒന്നിനും mask പോലും ഇല്ല. LDF🔥🔥,original
എല്ലാം ശരിയാക്കി തരാം എന്ന് പറഞ്ഞപ്പോ ഇത്രയും പ്രതീക്ഷിച്ചില്ല.,original
Its a f**king conspiracy.. china has put on a bio war,Fake
എലാം കൂടി തിരുവാതിരകളി എന്ന കളി ഇല്ലാതാക്കി. എല്ലാത്തിനും. ഇ കമ്യൂണിസ്റ്റ് പാർട്ടി. കേറി നാശ കോശം. ആകുന്നുണ്ട്. അതുകൊണ്ട്. കേരളം എത്രയും വേഗം നാശത്തിൽ എത്തും എന്ന് ഉറപ്പ്.,original
ഉണ്ടാക്കിയവർക്ക് ഇല്ലാതാക്കാൻ ആണോ മറുനാടാ പ്രയാസം......,Fake
😂 ചൈനയുടെ ഒരു സാമ്പിൾ വെടിക്കെട്ട് മാത്രമാണിത് ... അവന്മാരോട് കളിച്ചാൽ ഇതിലും മുന്തിയ സാധനം ഇറക്കി അവർ കളിക്കും... സ്വന്തമായി സൂര്യൻ വരെ ഉണ്ടാക്കിയ ടീം ആണ്,Fake
ഇത്തവണ ഇവറ്റോളെ ജയിപ്പിച്ച വിപ്ലവസിംഗങ്ങള്‍ക്ക് അഭിവാദ്യങ്ങള്‍..നന്നായേയുള്ളു.മലയാളി ചെറ്റകള്‍ പാഠം പഠീക്കണം.,original
"റഷ്യ ,ബീജിംഗ് ,ഉത്തര കൊറിയ ഇവിടങ്ങളിൽ അമേരിക്കയ്ക്ക് എത്തിപ്പെടൽ ദുഷ്കരം ... ബീജിങ്ങിൽ കടക്കുന്നതിന് കടുത്ത നിയന്ത്രണമുണ്ട് .",Fake
Suhurthey <br>Pazhaya video Ippo enthinu? <br>Views veno? <br>Cash undakkanano? <br>Athyavashyamayi aanalley <br>Kashttam <br>Pura kathumbol thanne venam.,Fake
Good News Sir Thanks 🙏,Fake
Chainaye elladakuka..,Fake
ഹോ...! ഭയങ്കരം!!<br>   ഒരായിരം ചുടലയക്ഷികള്‍!!,original
", 🤪 🤪 🤪 😭 k. ഭൂതം",original
ചൈനീസ് മാത്രം തന്നെയാണോ ഇതിന്റെ പിന്നിൽ   ബിൽ ഗേറ്റ്സ്ന്റെ<br>രഹസ്യ പങ്ക് ഉണ്ടോ എന്ന് അറിയില്ല<br>പക്ഷെ ഒന്ന് അറിയാം വർദ്ധിച്ചു വരുന്ന ജനസംഖ്യയിൽ അയാൾക്ക്<br>ഉൽക്കണ്ഠ ഉണ്ടായിരുന്നു,Fake
ചില മാധ്യമങ്ങൾ മാധ്യമ ധർമ്മം മറക്കുന്നു,Fake
Innee Naatil Janangal verukkunna Bootham,original
Nalla background score anu avarku koduthirikkunnath.. Thandhayillatharathinte gunam kananund asianet nayinte makkale,Fake
"എന്റെമകന്റെകല്യാണം,അന്നേ ദിവസംനടത്തുന്നതിരുവാതിരയിൽപങ്കെടുക്കാൻനിങ്ങളെല്ലാവരുംകുടുമ്പസമേതംവരണമെന്ന്അപേക്ഷിക്കുന്നു എന്ന് സ്വന്തം,....... 🙏🙏",original
Katta waiting ayirunnu,original
Keralathinte ippoyathe virus 🦠 pinarayi sarkkaran🤮🤮😤💩,original
This is 100% Chinese  biological  weapon..,Fake
Jangal vidikal,original
ഇവൾക്ക് ഒന്നും തിരുവാതിര എന്ന് പോലും അറിയില്ല അയ്യപ്പസ്വാമി യെ വരെ പണം ആയി കാണുന്ന വർഗം ആണ് സംസാകാരം എന്ത് എന്ന് പോലും ഇവർ കേട്ടിട്ടില്ല,original
ആരോഗ്യം എന്താണ് എന്ന് അറിയാത്ത ഇതിനൊക്കെ ആരാടോ മന്ത്രി ആക്കിയത്,original
വെറും  ഊളകമ്മികള്‍ വസിക്കുന്ന കേരളം,original
Budhi illatha kazuthakal aanu rajythinte thalapath..athkond thanne aanu rajym ingane aayath..,original
EDO THANIKKU CINEMAYIL ABHINAYICHOODEE. ADHINHU MANYADHA UNDU.,Fake
Serikkum andames,original
ഷാജഹാൻ പണ്ടേ മണ്ടനാണ് അത് എല്ലാവർക്കും അറിയാം അവനൊഴികെ.  ബുദ്ധി യും വിവേകവും ഇല്ലാത്തത് ഒരു കുറ്റമല്ല പക്ഷെ അത് ഒരു അലങ്കാരമായി കൊണ്ട്നടക്കരുത്,Fake
ബുദ്ധി ഇളവർ ഇനിയും പാർട്ടി എന്ന് പറഞ്ഞു നടക്കില്ല,original
Ayyo ithipol ano marunadan arinjathu  ithu annuthanne arinjathum paranjathum anallo,Fake
m😈,Fake
Nallaavatharanam👍,original
ആരാവും ഏഴാം അറിവിലെ സൂര്യയേപോലെ രക്ഷിക്കാൻ വരുക ???,Fake
പശുവിനെ ദൈവം ആയി കാണുന്ന വർഗ്ഗത്തിൽ നിന്നും ഇതിൽ കൂടുതൽ ഒന്നും പ്രദശീകരത്,Fake
താങ്ക്യൂ സർ,Fake
മരണത്തിന്റെ വ്യാപാരികൾ,original
കാത്തിരിക്കുകയായിരുന്നു &quot;ഗം &quot;തിരുവാതിര ക്കാലത്തിനായി😆,original
തിരുവാതിര എന്ന കലയെ മാനം കെടുത്തല്ലേ ഇത് കൈ കൊട്ടി കളി അല്ലങ്കിൽ ചവിട്ടു നാടകം അത്ര മതി,original
കോവിഡിന്റെ തുടക്ക കാലത്ത് വേറെ ഒരു മേള നടന്നിരുന്നു. അഹമ്മദാബാദിൽ നമസ്തേ ട്രമ്പ് മേള. ശേഷം ഗുജറാത്തിൽ കോവിഡ് രോഗികളിൽ 70 ശതമാനത്തിന് മുകളിൽ അഹമ്മദാബാദിൽ നിന്നായിരുന്നു. അതാണ് തുടക്കം. ഇന്ന് കോവിഡിൽ നമ്പർ വൺ അമേരിക്ക നമ്പർ ടു ഇന്ത്യ.<br>കുംഭ മേളയിൽ കുറച്ച് പേര് മാസ്ക് ധരിച്ചിരുന്നു. അത് പറിയിലായിരുന്നു എന്ന് മാത്രം 😀😀😀😀,Fake
ഈ vaccin scientists  മാരൊ അവരുടെ ഉറ്റവരോ vaccin  എടുത്തു blood clott ആയി മരിക്കട്ടെ അപ്പോ തിരുത്തി പറയും <br> (45വയസ്സുള്ള എന്റെ ഒരു മലയാളി സുഹൃത്ത് vaccin എടുത്ത്  കഴിഞ്ഞ്  blood clot ആയി മരിച്ചു😓😢),Fake
തിരുവാതിര കളിച്ച 500 പേരും സാമൂഹ്യ അകലം പാലിച്ചാണ് നിന്നതെന്നു പാർട്ടി വിശദീകരണം നൽകി. അതോണ്ട് പേടിക്കണ്ട,original
Urappaytttum anganeyaanu.. Matte rajyangale avarude varuthiku varuthuka athinu vendi ayrunnu.. In  ithinulla marunn chodikunnavilakku mattu rajyangal   vangum....,Fake
Oru sahakarana thiruvathira moody aayaalo..???😂😂,original
100% failure veena George <br>Why don’t you can look other than this job,original
പൊളി,original
കൊറോണ പോലും ഈ തിരുവാതിര ഇതിന്റെ വരികൾ കേട്ട് ചിരിച്ചു ചത്ത്‌ കാണും,original
പാവം പ്രവാസി നാട്ടിൽ എത്തിയ പുറത്തു പോകരുത് എന്താലെ?,original
marxism enthan aryata kure mangamar!,original
സാമൂഹിക അകലം  പാലിച്ചാണല്ലോ കളിക്കുന്നത്,original
തിരുവാതിരകളി നല്ലൊരു കലയാണ് MA ബേബിയുടെ ആസ്വാദനം ഒന്ന് കാണണ്ടതു തന്നെ!!,original
ഇയാൾ ഒപ്പിച്ചു പറയാത്തെ   എന്ന കോവിടാ തബ്ലിഗ് കോവിഡ് മുസ്ലിം കോവിഡ് എന്തൊക്കെ ഇയാൾ പറഞ്ഞിട്ണ്ട്  അന്ന് കോവിഡ് ചൈനയിൽ മാത്രം റിപ്പോർട്ട്‌ ചെയ്ത്  സമയത്ത് അവര് അറിയാതെ 3000 പ്രതിനിധി കൾ  മർകസിൽ കൂടിയത് അവരെ എല്ലാം അറസ്റ് ചെയ്തു ഗോവെര്മെന്റ് സമ്മതിച്ചു ഇപ്പോഴോ എന്നിട്ടു തുലനം ചെയ്യുന്നു  ഇയാൾ  എന്നിട്ട്  ഈ  പ്രകൃത പരിപാടി ശരിയാണെന്നു പറയുന്നു,Fake
സ്വന്തം അനുഭവം ആണ് ഏറ്റവും വലിയ പാഠം രണ്ടാം വാക്സിൻ വെച്ച ശേഷം അനുഭവിക്കുന്ന ബുദ്ധിമുട്ട് അനുഭവിക്കുന്നവരാണ് ഞങൾ...ശരിക്കും പറഞാൽ പകുതി ജീവൻ മാത്രമായി ചുരുങ്ങി എന്ന് തന്നെ പറയാം...,Fake
"സത്യം എന്നായാലും പുറത്ത് വരും,,, ഇപ്പൊ തന്നെ തള്ളി marikkallay,,,,",Fake
Adutha pravashyavum Pinarayi jayikkane Ayyappaswami...,original
Marakazhuthakal,original
ഗൾഫിൽന്ന് വരുന്ന പ്രവാസികളെ 15 ദിവസം എങ്കിലും തുറങ്കിൽ അടക്കണം അവരാണ് പ്രശ്നക്കാർ,original
കേരളത്തിലെ ജനം ശൃദ്ധികുന്നത്<br>നല്ലതു ആണ്.,Fake
പാർട്ടി പരിപാടി കഴിയു പോൾ അടച്ചുപൂട്ടും,original
🤣🤣PWOLI🤣🙏,original
രക്ത സാക്ഷി 😔,original
ഇവരുടെ ഒന്നും തലയിൽ ഒന്നുമില്ലേ!,original
"Evanmar orikalum sathyam parayilla, live record chaythu kondirunnappol utharam muttipoi",Fake
Appo paranjuvarunnathu nammadea sariram soyam pradhirodhasheshi kayvarikkum ennu nam karuthano,Fake
പ്രവാസികൾ ക്വാറന്റൈൻ കിടക്കണം പുറത്തു എല്ലാർക്കും കോവിഡ് ആണ്. അവർക്ക് വരാതിരിക്കട്ടെ എന്ന് വച്ചാണ്.,original
ചൈനയിൽ നിന്നല്ലേ വൈറസ് വന്നത് അപ്പോൾ അവര്  തന്നെ തുടർച് നിൽക്കട്ടെ,Fake
ഞങ്ങളാണ് ഭരിക്കുന്നത്.. ഞങ്ങൾ എന്തും ചെയ്യും.. പിന്നല്ല,original
"ഇന്ത്യൻ ഗവണ്മെന്റ് പ്രഖ്യാപിച്ച ഹോമിയോപതി മെഡിസിൻ Arsenic Alba 30 എല്ലാവരും കഴിക്കു, preventive ആണ്, also ഇമ്മ്യൂണിറ്റി booster.",Fake
A brainwashed population controlled by a megalomaniac party headed by a dictator - this is China. A role model for the CPM in Kerala headed by Vijayan.,Fake
Avdeyum oru &quot;JI &quot; anallo presnakaari...,Fake
ee parampayra vaiyanmar enthilanu praveenyam nediyittullathu evar ashtanga hrudayamo sahasra yogamo padichittundo? vamozhi ayi kittunna arivu kondanu evar chikilsikkunnathu. allopathikkar njeliyenda pazhya chila marunnukal allathe onnum offer cheyanilla !! evarude chikilsa rogikale kollunnu! ayurveda herbalsum manjal sevayum kondanu njan covidine tholpichathu,Fake
Komadikku പറ്റിയ പറ്റ്,original
ദൈവം . പക്ഷികൾ മൃഗങ്ങൾ ഇത് മനുഷ്യർക് ഗുണങ്ങൾ മാത്രം തരുന്നു. <br>   ദൈവത്തിനെ വെല്ലുവിളി കുന്ന നയീം..,Fake
"വളർത്തു  നായ  പോലെ  ആണ്, കൊറോണ  വൈറസ്, ഉടമസ്ഥൻ  വിളിച്ചാൽ  കൂട്ടിൽ  കയറും",Fake
Pravasikale poi ooooooonjala,original
Russiayil inde..ukrinte karythilm avre hide cheythe vechekuaa...,Fake
Hmm    ..Sathyamavatte...🙏💖,Fake
😂😂😂 എല്ലാം പ്രഹസനം മാത്രം<br>പറയുകെ യുള്ളൂ പ്രവർത്തിയിൽ ഇല്ല സ്വയം നന്നാവില്ല നാട്ടുകാരെ നന്നാക്കുന്നു കൊള്ളാം,original
പിണുഭഗവാന് വേണ്ടി അമ്പലം കൂടി പണിയണം.,original
Dirty game by China,Fake
naamal akathu kerikko... paarty purathunduuuu.....vottu cheytha potanmar,original
🤣🤣🤣💞പിണു കീ ജയ്,original
America onnum orikkalum thakarilla avar athu control chaiyum athanallo charithram,Fake
അപ്പോള്‍ പുകവലി തുടങ്ങാം മരിക്കില്ലല്ലോ,Fake
മോദി യുടെയ്‌ light പരിപാടി കളിയക്കിയവരു,original
ഭ്രാന്ത് എന്നല്ലാതെ എന്താ പറയാ,original
ചൈന ബുദ്ദിസം ആണോ ശരിക്കും,Fake
"എല്ലാവരും നിയന്ത്രിച്ചാൽ അവനവന് കൊള്ളം, ഇല്ലങ്കിൽ ജനസംഖ്യ കുറയും,",original
രക്തസാക്ഷിയെ കിട്ടിയതിൻ്റെ ആലോ ഷ മാ യി മൊഗാ തിരുവാതിര ... ലേശം ഉളുപ്പ്,original
എത്ര മനുഷ്യരാണ്.... ദൈവമേ,Fake
super co-ordination,original
"ഒരു പഴംചൊല്ലു ഉണ്ടല്ലോ ആശാന്   അടുപ്പിലും,,,,,,,,,,, റാം    പാവങ്ങക്കാണ്   പെറ്റിയും  കേസും",original
ഇത് കോമഡി ചർച്ച ആണോ 😄😄,Fake
പ്രതിപക്ഷത്തിരിക്കുമ്പോൾ പിണു ഇങ്ങനെ അലറിയേനെ.... എന്തൊരു രാഷ്ട്രീയ അധഃപതനം ആണിത്... അധികാരമുണ്ടെന്നു കരുതി എന്തും ചെയ്യാമെന്നാണ് ഉമ്മൻ‌ചാണ്ടിയും കോൺഗ്രസ്സും കരുതുന്നുണ്ടെങ്കിൽ കയ്യും കെട്ടി ഇരിക്കില്ല സിപിഎം... കേരളം കത്തും.. ജനം ആണ് വലുത് പാർട്ടീ അല്ല 💊💊,original
Endha nalla party 😂,original
China undakithavum coronayae avara marunnum. Kamdupidichu kanum purath vidilla,Fake
Excellent talk,Fake
"അനേക ദൈവമക്കൾ continous ആയി പ്രാർത്ഥിച്ചു കൊണ്ടിരിക്കുന്നു .ദൈവം ഈ മഹാമാരിയിൽ നിന്ന് നമ്മെ വിടുവിക്കും .വലിയ ഉണർവ് രാജ്യം മുഴുവൻ ,ലോകം മുഴുവൻ ഉണ്ടാകും .കർത്താവിന്റെ വരവിനു മുൻപ് തനിക്കുള്ളവരെ വീണ്ടും പറയുന്നു തനിക്കുള്ളവരെ ഒരുക്കി എടുക്കുന്ന ഒരവസരം ആണിത് .ദൈവം സകലതും നന്മക്കായി ചെയ്യുന്നു .അത് പിന്നീടേ നമുക്ക് മനസ്സിലാകൂ .കഷ്ടതയിൽ ആയിരുന്നത് എനിക്ക് ഏറെ ഗുണമായി എന്ന് ദൈവ വചനത്തിൽ പറയുന്നത് ഓർത്തു കൊണ്ട് നിർത്തുന്നു .🙏🙏🙏",Fake
ആ തിരുവാതിരകാര്‍ mask ധരിച്ച് എങ്കിലും കളിക്കാമായിരുന്നു.... വല്ലാത്ത ഒരു ചെയ്ത്തതായിപോയി,original
1049 ആമത്തേ ഒറ്റപ്പെട്ട സംഭവം .!,original
ലോക തോൽവി..<br>എന്തും ആവാം..<br>കേരളം നമ്പർ 1,original
"ദൈവത്തിന്‍റെ പരീക്ഷണമല്ല കൊറോണ,ചൈനയുടെ പരീക്ഷണമാണ് കൊറോണ..ദൈവം ചൂളി പോയി..!",Fake
Kalikkarikal aarum mask ittittillallo,original
Keralathiley viddikal viswasikkanamenkil Chinese President vannu nerittu parayanam&quot;. FOOLS&#39; OWN KERALA.&quot;  Keralathiley muzhuvan janangaleyumalla njaanuddheshichchathu. Thettidharikkaruthu.,Fake
Ee prandhane oke  anu .....aadhyam naadu kadathande,Fake
കോഴിക്കോട്ജില്ലയിൽ.സുധാകരൻനടത്തിയതൂഅവതരിപികണം,original
