,text,label,training_label,cleaned,transliterated_text
17,"ആദ്യമായ് ചാനലുകളിൽ വരുന്ന പരസ്യങ്ങൾ സത്യം ആണോ എന്ന് പരിശോധന നടത്താൻ ഗവണ്മെന്റ് ഒരു ജുഡീഷ്യൽ കമ്മിറ്റി undakanam. മുട്ടുവേദന, പ്രാർത്ഥിച്ചാൽ ഫലം, സെക്സ്, ഏലസ്, അങ്ങനെ തുടങ്ങി പലതിനും ചാനലുകൾ പ്രതിഫലം വാങ്ങി പരസ്യം ചെയ്യുന്നു. ഇതെല്ലാം ശാസ്ത്രിയമായി തെറ്റാണ് എന്ന് അറിഞ്ഞുകൊണ്ടാണ് ചാനലുകാരും പത്രമാധ്യമങ്ങളും പണത്തിനു വേണ്ടി ഇതിനു കൂട്ടുപിടിക്കുന്നത്. പിന്നെ എങ്ങനെ സമൂഹം നന്നാവും. ഒരു 30കൊല്ലം മുമ്പത്തെ വാരികകൾ വായിച്ചാൽ വിജ്ഞാനപ്രദമായ പലതും ഗ്രഹിക്കുമായിരിന്നു. ഇന്ന് പരസ്യങ്ങൾ തലമുറയെ മിക്കവാറും വിഡ്ഢികൾ ആക്കുന്നു.",Fake,1,"ആദ്യമായ് ചാനലുകളിൽ വരുന്ന പരസ്യങ്ങൾ സത്യം ആണോ എന്ന് പരിശോധന നടത്താൻ ഗവണ്മെന്റ് ഒരു ജുഡീഷ്യൽ കമ്മിറ്റി undakanam. മുട്ടുവേദന, പ്രാർത്ഥിച്ചാൽ ഫലം, സെക്സ്, ഏലസ്, അങ്ങനെ തുടങ്ങി പലതിനും ചാനലുകൾ പ്രതിഫലം വാങ്ങി പരസ്യം ചെയ്യുന്നു. ഇതെല്ലാം ശാസ്ത്രിയമായി തെറ്റാണ് എന്ന് അറിഞ്ഞുകൊണ്ടാണ് ചാനലുകാരും പത്രമാധ്യമങ്ങളും പണത്തിനു വേണ്ടി ഇതിനു കൂട്ടുപിടിക്കുന്നത്. പിന്നെ എങ്ങനെ സമൂഹം നന്നാവും. ഒരു 30കൊല്ലം മുമ്പത്തെ വാരികകൾ വായിച്ചാൽ വിജ്ഞാനപ്രദമായ പലതും ഗ്രഹിക്കുമായിരിന്നു. ഇന്ന് പരസ്യങ്ങൾ തലമുറയെ മിക്കവാറും വിഡ്ഢികൾ ആക്കുന്നു.","ആദ്യമായ് ചാനലുകളിൽ വരുന്ന പരസ്യങ്ങൾ സത്യം ആണോ എന്ന് പരിശോധന നടത്താൻ ഗവണ്മെന്റ് ഒരു ജുഡീഷ്യൽ കമ്മിറ്റി ഉണ്ടാകണം. മുട്ടുവേദന, പ്രാർത്ഥിച്ചാൽ ഫലം, സെക്സ്, ഏലസ്, അങ്ങനെ തുടങ്ങി പലതിനും ചാനലുകൾ പ്രതിഫലം വാങ്ങി പരസ്യം ചെയ്യുന്നു. ഇതെല്ലാം ശാസ്ത്രിയമായി തെറ്റാണ് എന്ന് അറിഞ്ഞുകൊണ്ടാണ് ചാനലുകാരും പത്രമാധ്യമങ്ങളും പണത്തിനു വേണ്ടി ഇതിനു കൂട്ടുപിടിക്കുന്നത്. പിന്നെ എങ്ങനെ സമൂഹം നന്നാവും. ഒരു ൩൦കൊല്ലം മുമ്പത്തെ വാരികകൾ വായിച്ചാൽ വിജ്ഞാനപ്രദമായ പലതും ഗ്രഹിക്കുമായിരിന്നു. ഇന്ന് പരസ്യങ്ങൾ തലമുറയെ മിക്കവാറും വിഡ്ഢികൾ ആക്കുന്നു."
18,ഒരു രക്തസാക്ഷിയെ കിട്ടിയതല്ലേ. ഒന്നു ആഘോഷിക്കണ്ട. ഇങ്ങളിത് എന്താണപ്പ ഇങ്ങനെ,original,0,ഒരു രക്തസാക്ഷിയെ കിട്ടിയതല്ലേ. ഒന്നു ആഘോഷിക്കണ്ട. ഇങ്ങളിത് എന്താണപ്പ ഇങ്ങനെ,ഒരു രക്തസാക്ഷിയെ കിട്ടിയതല്ലേ. ഒന്നു ആഘോഷിക്കണ്ട. ഇങ്ങളിത് എന്താണപ്പ ഇങ്ങനെ
19,വളരെ ഉപകാരപ്പെടും... കാരണം.. എനിക്കുതന്നെ എന്തെങ്കിലും അസ്വസ്തത വരുമ്പോ... ചിലപ്പോൾ സംശയങ്ങൾ വരാറുണ്ട് ..,original,0,വളരെ ഉപകാരപ്പെടും... കാരണം.. എനിക്കുതന്നെ എന്തെങ്കിലും അസ്വസ്തത വരുമ്പോ... ചിലപ്പോൾ സംശയങ്ങൾ വരാറുണ്ട് ..,വളരെ ഉപകാരപ്പെടും... കാരണം.. എനിക്കുതന്നെ എന്തെങ്കിലും അസ്വസ്തത വരുമ്പോ... ചിലപ്പോൾ സംശയങ്ങൾ വരാറുണ്ട് ..
20,Corona paedichu poakumennano ? Enthayalum Rendum Kalpichoru Yaathra.,Fake,1,corona paedichu poakumennano ? enthayalum rendum kalpichoru yaathra.,കൊറോണ പേടിച്ച് പോകുമെന്നാണോ ? എന്തയാലും രേണ്ടും കല്പിച്ചൊരു യാത്ര.
21,അള്ളാഹു ന് പോലും ലെവന്മാരെ രക്ഷിക്കാൻ പറ്റിയില്ല പിന്നല്ലേ... ലോക്ക് ഡൌൺ..... ഈ നാരികൾക്ക് തലയിൽ ചാണകമോ അതോ കളിമണ്ണോ..... ശവങ്ങൾ. വെടിവെച്ചു കൊല്ലണം ഈ മത ഭ്രാന്തന്മാരെ.,Fake,1,അള്ളാഹു ന് പോലും ലെവന്മാരെ രക്ഷിക്കാൻ പറ്റിയില്ല പിന്നല്ലേ... ലോക്ക് ഡൌൺ..... ഈ നാരികൾക്ക് തലയിൽ ചാണകമോ അതോ കളിമണ്ണോ..... ശവങ്ങൾ. വെടിവെച്ചു കൊല്ലണം ഈ മത ഭ്രാന്തന്മാരെ.,അള്ളാഹു ന് പോലും ലെവന്മാരെ രക്ഷിക്കാൻ പറ്റിയില്ല പിന്നല്ലേ... ലോക്ക് ഡൌൺ..... ഈ നാരികൾക്ക് തലയിൽ ചാണകമോ അതോ കളിമണ്ണോ..... ശവങ്ങൾ. വെടിവെച്ചു കൊല്ലണം ഈ മത ഭ്രാന്തന്മാരെ.
22,അവതരണം കലക്കി...,original,0,അവതരണം കലക്കി...,അവതരണം കലക്കി...
23,"ജേക്കബ് വടക്കൻചേരിയേ പോലെ ഉള്ളവർ 95% ചെയ്യുന്നത്<br>.<br>... British medical journal, Lancet തുടങ്ങിയവയിൽ വന്ന... drug mafia  പൂഴ്ത്തിവെച്ച പഠന റിപ്പോർട്ടുകൾ ജനങ്ങളിൽ തുറന്നു കാണിക്കുക<br><br>.... medical books, medical journals ഉള്ള കാര്യങ്ങൾക്ക് വിപരീതമായി modern medicine doctors സമൂഹത്തിൽ ചെയ്യുന്ന കാര്യങ്ങൾ കൂടുതൽ അസുഖങ്ങളിലേക്ക് പോവുന്നു എന്ന കാര്യം<br><br>.... ശാസ്തീയം എന്ന്‌ അവകാശപ്പെട്ടു സമൂഹത്തിൻ്റെ മേലെ അടിച്ചേൽപ്പിക്കുന്ന കാര്യങ്ങൾക്ക് മറ്റു ചില വശങ്ങൾ കൂടി ചിന്തിച്ചു നോക്കിക്കൂടെ എന്ന്....<br>.<br>മീഡിയകൾ അനാവശ്യമായി ജനങ്ങളെ പേടിപ്പിക്കുന്നതിനെ കുറിച്ച്. ...<br>..... <br>.... ലളിതമായി ഭക്ഷണം കഴിച്ച് , നന്നായി ഉറങ്ങി നല്ലത് ചിന്തിച്ച് , നല്ലത് ചെയ്ത് അസുഖമില്ലാതെ ജീവിച്ചൂടെ എന്നല്ലെ അവർ ചോദിക്കുന്നത്. <br>.....<br>ഇത് അത്ര മോശം കാര്യമാണ് എന്ന് തോന്നുന്നുണ്ടോ?",Fake,1,"ജേക്കബ് വടക്കൻചേരിയേ പോലെ ഉള്ളവർ 95% ചെയ്യുന്നത്.... british medical journal, lancet തുടങ്ങിയവയിൽ വന്ന... drug mafia പൂഴ്ത്തിവെച്ച പഠന റിപ്പോർട്ടുകൾ ജനങ്ങളിൽ തുറന്നു കാണിക്കുക.... medical books, medical journals ഉള്ള കാര്യങ്ങൾക്ക് വിപരീതമായി modern medicine doctors സമൂഹത്തിൽ ചെയ്യുന്ന കാര്യങ്ങൾ കൂടുതൽ അസുഖങ്ങളിലേക്ക് പോവുന്നു എന്ന കാര്യം.... ശാസ്തീയം എന്ന്‌ അവകാശപ്പെട്ടു സമൂഹത്തിൻ്റെ മേലെ അടിച്ചേൽപ്പിക്കുന്ന കാര്യങ്ങൾക്ക് മറ്റു ചില വശങ്ങൾ കൂടി ചിന്തിച്ചു നോക്കിക്കൂടെ എന്ന്.....മീഡിയകൾ അനാവശ്യമായി ജനങ്ങളെ പേടിപ്പിക്കുന്നതിനെ കുറിച്ച്. ........ .... ലളിതമായി ഭക്ഷണം കഴിച്ച് , നന്നായി ഉറങ്ങി നല്ലത് ചിന്തിച്ച് , നല്ലത് ചെയ്ത് അസുഖമില്ലാതെ ജീവിച്ചൂടെ എന്നല്ലെ അവർ ചോദിക്കുന്നത്. .....ഇത് അത്ര മോശം കാര്യമാണ് എന്ന് തോന്നുന്നുണ്ടോ?","ജേക്കബ് വടക്കൻചേരിയേ പോലെ ഉള്ളവർ ൯൫% ചെയ്യുന്നത്.... ബ്രിട്ടീഷ് മെഡിക്കൽ ജേർണൽ, ലാൻസെറ്റ് തുടങ്ങിയവയിൽ വന്ന... ഡ്രഗ് മാഫിയ പൂഴ്ത്തിവെച്ച പഠന റിപ്പോർട്ടുകൾ ജനങ്ങളിൽ തുറന്നു കാണിക്കുക.... മെഡിക്കൽ ബുക്സ്, മെഡിക്കൽ ജേർണൽസ് ഉള്ള കാര്യങ്ങൾക്ക് വിപരീതമായി മോഡർണ് മെഡിസിൻ ഡോക്ടർസ് സമൂഹത്തിൽ ചെയ്യുന്ന കാര്യങ്ങൾ കൂടുതൽ അസുഖങ്ങളിലേക്ക് പോവുന്നു എന്ന കാര്യം.... ശാസ്തീയം എന്ന്‌ അവകാശപ്പെട്ടു സമൂഹത്തിൻ്റെ മേലെ അടിച്ചേൽപ്പിക്കുന്ന കാര്യങ്ങൾക്ക് മറ്റു ചില വശങ്ങൾ കൂടി ചിന്തിച്ചു നോക്കിക്കൂടെ എന്ന്.....മീഡിയകൾ അനാവശ്യമായി ജനങ്ങളെ പേടിപ്പിക്കുന്നതിനെ കുറിച്ച്. ........ .... ലളിതമായി ഭക്ഷണം കഴിച്ച് , നന്നായി ഉറങ്ങി നല്ലത് ചിന്തിച്ച് , നല്ലത് ചെയ്ത് അസുഖമില്ലാതെ ജീവിച്ചൂടെ എന്നല്ലെ അവർ ചോദിക്കുന്നത്. .....ഇത് അത്ര മോശം കാര്യമാണ് എന്ന് തോന്നുന്നുണ്ടോ?"
24,പിണറായി രാജാവ് പടു വിഡ്ഡി ഇത് പാടിയ അവനും അഭിനയിച്ച അവനും കുടുംബശ്രീ ചേച്ചിമാരുടെ ഓക്കേ നിലവാരം,original,0,പിണറായി രാജാവ് പടു വിഡ്ഡി ഇത് പാടിയ അവനും അഭിനയിച്ച അവനും കുടുംബശ്രീ ചേച്ചിമാരുടെ ഓക്കേ നിലവാരം,പിണറായി രാജാവ് പടു വിഡ്ഡി ഇത് പാടിയ അവനും അഭിനയിച്ച അവനും കുടുംബശ്രീ ചേച്ചിമാരുടെ ഓക്കേ നിലവാരം
25,Good presentation nisha🤩,Fake,1,good presentation nisha ,ഗുഡ് പ്രസന്റേഷൻ നിഷ
26,"All the rules regarding COVID protocol are only for the common man . Our high and mighty and supercilious Ministers are beyond all these protocols. They can organize these melas like the one above, collect thousands of fawning public for inauguration of a bridge and such others. For them rules are meant to be bent and broken. Their gift of gab will get them thru all these protocols.",original,0,"rules regarding covid protocol common man . high mighty supercilious ministers beyond protocols. organize melas like one above, collect thousands fawning public inauguration bridge others. rules meant bent broken. gift gab get thru protocols.","റൂൾസ് റിഗാർഡിങ് കോവിഡ് പ്രോട്ടോകോൾ കോമൺ മാൻ . ഹൈ മൈറ്റി സൂപ്പർസിലിയസ് മിനിസ്റ്റേർസ് ബിയോണ്ട് പ്രോട്ടോകോൾസ്. ഓർഗനൈസ് മെലാസ് ലൈക്ക് ഒനെ അബോവ്, കളക്ട് തൌസൻഡ്സ് ഫോണിങ് പബ്ലിക് ഇനോഗുറേഷൻ ബ്രിഡ്ജ് ഓതേർസ്. റൂൾസ് മിയന്റ് ബെന്റ് ബ്രോക്കൻ. ഗിഫ്റ്റ് ഗാബ് ഗേറ്റ് ത്രു പ്രോട്ടോകോൾസ്."
27,"CPM and it&#39;s party conferences being held throughout  the state,disregarding covid protocol management, are solely responsible for the rampant spread of Covid 19 .in the state to alarming levels. The party leaders have organized massive programs like Thiruvathirakali etc.<br>The Central government and the Ministry of Health should order an urgent inquiry in to the abuse of protocol rules.",original,0,"cpm #39;s party conferences held throughout state,disregarding covid protocol management, solely responsible rampant spread covid 19 .in state alarming levels. party leaders organized massive programs like thiruvathirakali etc.the central government ministry health order urgent inquiry abuse protocol rules.","സിപിഎം #൩൯;സ് പാർട്ടി കോൺഫറൻസ് ഹെൽഡ് ത്രൌഗ്ഹൌട്ട് സ്റ്റേറ്റ്,ഡിസ്രെഗാർഡിങ് കോവിഡ് പ്രോട്ടോകോൾ മാനേജ്മെന്റ്, സോളിലി റെസ്പോൺസിബിൾ രാംപന്ത് സ്പ്രെഡ് കോവിഡ് ൧൯ .ഇൻ സ്റ്റേറ്റ് അലാർമിംഗ് ലെവൽസ്. പാർട്ടി ലീഡേഴ്സ് ഓർഗനൈസ്ഡ് മാസീവ് പ്രോഗ്രാംസ് ലൈക്ക് തിരുവാതിരകളി ഇടിസി.തെ സെൻട്രൽ ഗവർണ്മെന്റ് മിനിസ്ട്രി ഹെൽത്ത് ഓർഡർ അർജന്റ് ഇൻക്വയറി അബ്യൂസ് പ്രോട്ടോകോൾ റൂൾസ്."
28,ഒരു ജീവൻ പൊലിഞ്ഞപ്പോഴേക്കും തിരുവാതിര song  ഒക്കെ  ready ആക്കിയല്ലോ...,original,0,ഒരു ജീവൻ പൊലിഞ്ഞപ്പോഴേക്കും തിരുവാതിര song ഒക്കെ ready ആക്കിയല്ലോ...,ഒരു ജീവൻ പൊലിഞ്ഞപ്പോഴേക്കും തിരുവാതിര സോങ് ഒക്കെ റെഡി ആക്കിയല്ലോ...
29,എടോ പിണറായി എവിടെടോ mask,original,0,എടോ പിണറായി എവിടെടോ mask,എടോ പിണറായി എവിടെടോ മാസ്ക്
30,കേരളത്തെ . ഒന്നൊന്നായി<br>വമ്പൻ പ്രളയം വിഴുങ്ങിയപ്പോൾ<br>ദുരിതാശ്വാസ ഫണ്ടിൽ നിന്നും ഫണ്ട് അടിച്ചി മാറ്റിയില്ലേ <br>കമ്മ്യൂണിസ്റ്റ് പാർട്ടി😂,original,0,കേരളത്തെ . ഒന്നൊന്നായിവമ്പൻ പ്രളയം വിഴുങ്ങിയപ്പോൾദുരിതാശ്വാസ ഫണ്ടിൽ നിന്നും ഫണ്ട് അടിച്ചി മാറ്റിയില്ലേ കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ,കേരളത്തെ . ഒന്നൊന്നായിവമ്പൻ പ്രളയം വിഴുങ്ങിയപ്പോൾദുരിതാശ്വാസ ഫണ്ടിൽ നിന്നും ഫണ്ട് അടിച്ചി മാറ്റിയില്ലേ കമ്മ്യൂണിസ്റ്റ് പാർട്ടി
31,കൊറോണ ഒക്കെ ഇങ്ങനെ പേടിക്കേണ്ട കാലം ഒക്കെ കഴിഞ്ഞു.ഇനിയും പേടിച്ച് ഇരുന്നാൽ irikkathe ഉള്ളൂ,Fake,1,കൊറോണ ഒക്കെ ഇങ്ങനെ പേടിക്കേണ്ട കാലം ഒക്കെ കഴിഞ്ഞു.ഇനിയും പേടിച്ച് ഇരുന്നാൽ irikkathe ഉള്ളൂ,കൊറോണ ഒക്കെ ഇങ്ങനെ പേടിക്കേണ്ട കാലം ഒക്കെ കഴിഞ്ഞു.ഇനിയും പേടിച്ച് ഇരുന്നാൽ ഇരിക്കാതെ ഉള്ളൂ
32,കൊറോണ വൈറസ് ഇന്ത്യ കൈനീട്ടി വാങ്ങിയതാണ്  ചാകാൻ നേരത്തെ രാമരാമ  പറഞ്ഞിട്ട് കാര്യമില്ല ഇല്ല,Fake,1,കൊറോണ വൈറസ് ഇന്ത്യ കൈനീട്ടി വാങ്ങിയതാണ് ചാകാൻ നേരത്തെ രാമരാമ പറഞ്ഞിട്ട് കാര്യമില്ല ഇല്ല,കൊറോണ വൈറസ് ഇന്ത്യ കൈനീട്ടി വാങ്ങിയതാണ് ചാകാൻ നേരത്തെ രാമരാമ പറഞ്ഞിട്ട് കാര്യമില്ല ഇല്ല
33,Oscar 2022 <br>Best song goes to :-innee party lokamengum..😂😂,original,0,oscar 2022 best song goes :-innee party lokamengum.. ,ഓസ്കാർ ൨൦൨൨ ബെസ്റ്റ് സോങ് ഗോസ് :-ഇന്നീ പാർട്ടി ലോകമെങ്ങും..
34,China  army  na pinvalichuu <br>Oppam corona um pinvalinuu😂😜,Fake,1,china army na pinvalichuu oppam corona um pinvalinuu ,ചിന ആർമി ന പിൻവലിച്ചു ഒപ്പം കൊറോണ ഉം പിൻവലിനൂ
35,മിസ്റ്റർ സാജൻ സക്കറിയ ഇതാണ് കോവിഡ മേള മോദിയുടെയും അമിത് ഷാ യുടെയും തണലിൽ ഉഷാറായി നടക്കട്ടെ,Fake,1,മിസ്റ്റർ സാജൻ സക്കറിയ ഇതാണ് കോവിഡ മേള മോദിയുടെയും അമിത് ഷാ യുടെയും തണലിൽ ഉഷാറായി നടക്കട്ടെ,മിസ്റ്റർ സാജൻ സക്കറിയ ഇതാണ് കോവിഡ മേള മോദിയുടെയും അമിത് ഷാ യുടെയും തണലിൽ ഉഷാറായി നടക്കട്ടെ
36,കിറ്റപ്പൻ  ദൈബം ഉയിർ 🤣🤣🤣😂😂😂🤪🤪🤪,original,0,കിറ്റപ്പൻ ദൈബം ഉയിർ  ,കിറ്റപ്പൻ ദൈബം ഉയിർ
37,Pakhippane varumpol evattakalee kuuttathode kathikkunna pole.evattakale enthe kathikkathathu.pakhikal kodathiyil pokano ene,original,0,pakhippane varumpol evattakalee kuuttathode kathikkunna pole.evattakale enthe kathikkathathu.pakhikal kodathiyil pokano ene,പക്ഷിപ്പനെ വരുമ്പോൾ ഇവറ്റകളെ കൂട്ടത്തോടെ കത്തിക്കുന്ന പോലെ.ഇവറ്റകളെ എന്തെ കത്തിക്കാത്തത്.പഖികൾ കോടതിയിൽ പോകാനോ എനെ
38,Jeevichirunnalalle ആചാരങ്ങൾ നടത്താൻ പറ്റൂ!!!,Fake,1,jeevichirunnalalle ആചാരങ്ങൾ നടത്താൻ പറ്റൂ!!!,ജീവിച്ചിരുന്നലല്ലേ ആചാരങ്ങൾ നടത്താൻ പറ്റൂ!!!
39,ആരൊക്കെയോ എന്തൊക്കെയോ പറയുന്നു എന്നു നിങ്ങൾ തന്നെ പറയുന്നു. സത്യവും മിഥ്യയും നിങ്ങൾക്ക് തന്നെ അറിയില്ല. ഇതെല്ലാം മനസ്സിലാക്കിയിട്ട് പറഞ്ഞാൽ പോരെ. റഷ്യയിലും Nകൊറിയയിലും ആയിരങ്ങൾ രോഗബാധിധരാണ്.,Fake,1,ആരൊക്കെയോ എന്തൊക്കെയോ പറയുന്നു എന്നു നിങ്ങൾ തന്നെ പറയുന്നു. സത്യവും മിഥ്യയും നിങ്ങൾക്ക് തന്നെ അറിയില്ല. ഇതെല്ലാം മനസ്സിലാക്കിയിട്ട് പറഞ്ഞാൽ പോരെ. റഷ്യയിലും nകൊറിയയിലും ആയിരങ്ങൾ രോഗബാധിധരാണ്.,ആരൊക്കെയോ എന്തൊക്കെയോ പറയുന്നു എന്നു നിങ്ങൾ തന്നെ പറയുന്നു. സത്യവും മിഥ്യയും നിങ്ങൾക്ക് തന്നെ അറിയില്ല. ഇതെല്ലാം മനസ്സിലാക്കിയിട്ട് പറഞ്ഞാൽ പോരെ. റഷ്യയിലും ന്കൊറിയയിലും ആയിരങ്ങൾ രോഗബാധിധരാണ്.
40,കരുതലാണ് ഇവരുടെ മെയിൻ 🤣,original,0,കരുതലാണ് ഇവരുടെ മെയിൻ  ,കരുതലാണ് ഇവരുടെ മെയിൻ
41,വീഡിയോ നല്ല എഡിറ്റിംഗ് 🙏🙏🙏,original,0,വീഡിയോ നല്ല എഡിറ്റിംഗ്  ,വീഡിയോ നല്ല എഡിറ്റിംഗ്
42,e pennugalk vera valla panikum poikoode,original,0,e pennugalk vera valla panikum poikoode,ഇ പെണ്ണുഗൾക്ക് വേര വല്ല പണിക്കും പൊയ്കൂടെ
43,ദൈവമേ ഇവന്മാരെ അങ്ങ് തീർത്തേക്,Fake,1,ദൈവമേ ഇവന്മാരെ അങ്ങ് തീർത്തേക്,ദൈവമേ ഇവന്മാരെ അങ്ങ് തീർത്തേക്
44,ചൈന മറ്റു രാജ്യങ്ങളിലെ സാമ്പത്തിക സ്ഥിതി തകരുമ്പോൾ അവിടത്തെ സ്ഥാപനങ്ങൾ കള്ളുവിലയ്ക്ക് വാങ്ങാൻ സാധ്യതയുണ്ട്.,Fake,1,ചൈന മറ്റു രാജ്യങ്ങളിലെ സാമ്പത്തിക സ്ഥിതി തകരുമ്പോൾ അവിടത്തെ സ്ഥാപനങ്ങൾ കള്ളുവിലയ്ക്ക് വാങ്ങാൻ സാധ്യതയുണ്ട്.,ചൈന മറ്റു രാജ്യങ്ങളിലെ സാമ്പത്തിക സ്ഥിതി തകരുമ്പോൾ അവിടത്തെ സ്ഥാപനങ്ങൾ കള്ളുവിലയ്ക്ക് വാങ്ങാൻ സാധ്യതയുണ്ട്.
